Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Scott Langley,79.00,62.45,2013,278.90,64.00,29.08,59.47,71.27,386,,1,0.04,-0.17,-0.30,-0.12,0.22,590684
David Mathis,71.00,62.42,2013,280.60,63.60,29.73,52.39,72.22,197,,1,-0.45,-1.15,-0.33,-0.27,-0.11,274477
Ian Poulter,59.00,62.42,2013,281.70,63.52,28.83,61.49,70.38,645,,3,0.18,0.51,0.20,-0.15,0.29,1723463
Chris Stroud,88.00,62.40,2013,277.00,64.33,28.40,64.60,70.55,800,,4,0.34,0.62,-0.58,0.52,0.33,1602122
Nick Watney,88.00,62.40,2013,291.20,68.48,29.99,56.35,70.78,663,,2,0.01,0.51,0.46,0.36,-0.32,2477639
Rod Pampling,46.00,62.35,2013,282.60,64.55,29.48,55.97,71.94,109,,,-0.56,-0.86,-0.12,-0.57,0.39,110451
Scott Brown,65.00,62.32,2013,289.50,64.10,29.03,55.71,71.25,588,1,1,-0.22,-0.07,0.34,-0.17,-0.01,1012142
Bill Haas,85.00,62.31,2013,288.20,67.79,29.27,62.01,70.02,1505,1,9,0.27,1.27,0.37,0.35,0.29,3475563
Vijay Singh,61.00,62.31,2013,288.10,69.13,30.89,57.23,71.00,291,,,-0.88,-0.03,0.37,0.50,-0.02,309351
William McGirt,75.00,62.30,2013,281.80,65.33,28.88,60.47,71.00,533,,2,0.23,0.07,-0.21,-0.12,0.17,867384
Rickie Fowler,75.00,62.27,2013,286.40,63.59,28.65,59.59,70.21,822,,4,0.43,0.78,0.14,0.14,0.07,1816742
David Hearn,88.00,62.08,2013,279.70,64.71,28.48,57.78,70.74,728,,2,0.48,0.35,-0.20,0.18,-0.12,1171515
Daniel Summerhays,83.00,62.08,2013,285.70,64.46,28.72,59.13,70.81,594,,4,0.22,0.45,-0.06,0.23,0.07,1277886
Fabián Gómez,65.00,61.88,2013,289.50,64.10,28.97,59.76,71.33,339,,1,0.12,-0.25,0.09,-0.44,-0.03,586942
Adam Scott,61.00,61.84,2013,297.80,68.80,29.52,56.38,69.30,1347,1,5,-0.03,1.31,0.73,0.55,0.06,4892611
Lucas Glover,65.00,61.62,2013,293.70,66.41,30.51,51.91,71.58,454,,2,-0.85,-0.09,0.54,0.31,-0.08,747812
Brendan Steele,86.00,61.56,2013,290.70,65.99,29.49,57.17,71.05,574,,2,0.03,0.02,0.03,-0.14,0.11,1004161
Kevin Chappell,80.00,61.52,2013,292.90,66.11,29.44,58.40,70.93,689,,3,-0.34,0.38,0.28,0.37,0.08,1589839
Michael Thompson,66.00,61.39,2013,279.40,61.78,29.18,57.71,71.30,828,1,3,-0.12,-0.51,-0.28,-0.18,0.07,1707637
Justin Bolli,59.00,61.36,2013,279.10,61.11,29.09,57.14,72.03,278,,2,0.04,-1.23,-0.27,-0.79,-0.21,545187
